@relation 'EssentiaData-weka.filters.unsupervised.attribute.Remove-R1,11,21,31,41,51,61,71,81,91,101,111,885,895-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,9-13,15-16,18-22,24-25,27-31,33-34,36-40,42-43,45-49,51-52,54-58,60-61,63-67,69-70,72-76,78-79,81-85,87-88,90-94,96-97,99-103,105-106,108,873-876,878-879,881-885,887-888,890-weka.filters.unsupervised.attribute.Remove-R38-375,389-726,735-740,747-752-weka.filters.unsupervised.attribute.Remove-R53-70,77-88,95-100'

@attribute lowlevel.melbands_crest.mean numeric
@attribute lowlevel.melbands_crest.stdev numeric
@attribute lowlevel.melbands_kurtosis.mean numeric
@attribute lowlevel.melbands_kurtosis.stdev numeric
@attribute lowlevel.spectral_energy.mean numeric
@attribute lowlevel.spectral_energy.stdev numeric
@attribute lowlevel.spectral_energyband_high.mean numeric
@attribute lowlevel.spectral_energyband_high.stdev numeric
@attribute lowlevel.spectral_energyband_low.mean numeric
@attribute lowlevel.spectral_energyband_low.stdev numeric
@attribute lowlevel.spectral_energyband_middle_high.mean numeric
@attribute lowlevel.spectral_energyband_middle_high.stdev numeric
@attribute lowlevel.spectral_energyband_middle_low.mean numeric
@attribute lowlevel.spectral_energyband_middle_low.stdev numeric
@attribute lowlevel.spectral_entropy.mean numeric
@attribute lowlevel.spectral_entropy.stdev numeric
@attribute lowlevel.spectral_flux.mean numeric
@attribute lowlevel.spectral_flux.stdev numeric
@attribute lowlevel.spectral_rolloff.mean numeric
@attribute lowlevel.spectral_rolloff.stdev numeric
@attribute lowlevel.spectral_skewness.mean numeric
@attribute lowlevel.spectral_skewness.stdev numeric
@attribute lowlevel.zerocrossingrate.mean numeric
@attribute lowlevel.zerocrossingrate.stdev numeric
@attribute lowlevel.gfcc.mean.0 numeric
@attribute lowlevel.gfcc.mean.1 numeric
@attribute lowlevel.gfcc.mean.2 numeric
@attribute lowlevel.gfcc.mean.3 numeric
@attribute lowlevel.gfcc.mean.4 numeric
@attribute lowlevel.gfcc.mean.5 numeric
@attribute lowlevel.gfcc.mean.6 numeric
@attribute lowlevel.gfcc.mean.7 numeric
@attribute lowlevel.gfcc.mean.8 numeric
@attribute lowlevel.gfcc.mean.9 numeric
@attribute lowlevel.gfcc.mean.10 numeric
@attribute lowlevel.gfcc.mean.11 numeric
@attribute lowlevel.gfcc.mean.12 numeric
@attribute lowlevel.mfcc.mean.0 numeric
@attribute lowlevel.mfcc.mean.1 numeric
@attribute lowlevel.mfcc.mean.2 numeric
@attribute lowlevel.mfcc.mean.3 numeric
@attribute lowlevel.mfcc.mean.4 numeric
@attribute lowlevel.mfcc.mean.5 numeric
@attribute lowlevel.mfcc.mean.6 numeric
@attribute lowlevel.mfcc.mean.7 numeric
@attribute lowlevel.mfcc.mean.8 numeric
@attribute lowlevel.mfcc.mean.9 numeric
@attribute lowlevel.mfcc.mean.10 numeric
@attribute lowlevel.mfcc.mean.11 numeric
@attribute lowlevel.mfcc.mean.12 numeric
@attribute rhythm.danceability numeric
@attribute rhythm.onset_rate numeric
@attribute rhythm.beats_loudness_band_ratio.mean.0 numeric
@attribute rhythm.beats_loudness_band_ratio.mean.1 numeric
@attribute rhythm.beats_loudness_band_ratio.mean.2 numeric
@attribute rhythm.beats_loudness_band_ratio.mean.3 numeric
@attribute rhythm.beats_loudness_band_ratio.mean.4 numeric
@attribute rhythm.beats_loudness_band_ratio.mean.5 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.0 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.1 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.2 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.3 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.4 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.5 numeric
@attribute tonal.chords_strength.mean numeric
@attribute tonal.chords_strength.stdev numeric
@attribute tonal.hpcp_entropy.mean numeric
@attribute tonal.hpcp_entropy.stdev numeric
@attribute tonal.key_edma.strength numeric
@attribute tonal.key_krumhansl.strength numeric
@attribute tonal.key_temperley.strength numeric
@attribute class {pleased,happy,excited,annoyed,angry,nervous,sad,bored,sleepy,relaxed,peaceful,calm}

@data
20.270359,4.981452,99.853096,84.647987,0.105267,0.04258,0.000197,0.000308,0.091568,0.04107,0.000519,0.000663,0.020543,0.013866,6.504275,0.789128,0.092627,0.071782,208.122482,627.759277,2.29223,1.23421,0.013418,0.020266,-56.348194,145.171997,-62.951328,68.916313,-41.509594,16.856298,-24.505713,-7.253121,-11.136703,-6.073287,-3.030722,-11.8314,-9.049203,-707.686279,156.689056,47.618896,57.102673,20.059969,28.245829,5.901098,6.775538,-2.38588,0.210544,3.621374,5.87021,4.419485,1.39592,5.368051,0.915227,0.065957,0.022886,0.003679,0.003776,0.005427,0.055283,0.043727,0.029515,0.003346,0.002442,0.00323,0.41407,0.075665,2.082494,0.769061,0.528713,0.523613,0.518792,excited
18.75104,4.432749,32.691353,40.189079,0.030869,0.055751,0.00004,0.000141,0.023047,0.048184,0.000683,0.003516,0.009452,0.022109,5.642796,1.109557,0.041112,0.061781,310.88681,337.957428,4.854779,3.659992,0.01585,0.015655,-250.786377,178.034882,-65.918343,40.294113,-26.56608,-1.007096,-19.702553,-7.198541,-12.95258,-9.367064,-0.987711,-11.009459,-2.222647,-906.433166,191.565842,39.457714,49.030518,21.953821,14.431931,9.970456,4.035951,-1.764276,0.843665,-2.231405,-0.638526,2.313591,1.219784,1.9742,0.597317,0.287167,0.126456,0.041121,0.02051,0.013068,0.347404,0.299652,0.196527,0.082859,0.034623,0.02882,0.528455,0.084234,1.629635,0.668398,0.707934,0.719246,0.740823,nervous
20.655731,6.693482,12.223088,26.456247,0.029203,0.046904,0.000005,0.000014,0.012066,0.030758,0.003926,0.00802,0.01407,0.036424,5.283073,0.65958,0.028455,0.021303,792.392395,725.343079,5.152337,1.958208,0.029223,0.020823,-187.790955,183.789398,-115.821526,-16.3648,-34.191967,-11.776415,-22.530079,-2.814137,-14.766457,-7.644616,-19.27331,-23.386269,-1.037855,-860.030212,227.478241,-10.471819,20.146877,1.438895,-5.38833,-4.066549,-7.377098,5.042682,16.962164,0.713435,-17.053749,-23.543606,0.765801,1.042555,0.248928,0.221359,0.356111,0.141329,0.054978,0.001917,0.314299,0.303766,0.32088,0.189331,0.123316,0.004456,0.460157,0.106476,1.690831,0.532948,0.389016,0.384492,0.37212,sleepy
16.774326,3.625759,16.566444,8.409521,0.052299,0.024466,0.000553,0.000287,0.024995,0.016372,0.003717,0.001899,0.024211,0.01187,7.138553,0.288799,0.056255,0.033899,590.058899,303.710663,1.803824,0.11733,0.023643,0.008482,42.766689,86.265244,-94.755585,22.980659,-56.939857,10.635015,-38.731724,10.139827,-23.759964,11.157079,-20.062408,4.749578,-11.838176,-611.432434,125.646568,14.268282,21.583683,4.126367,5.631052,-2.245879,-1.740359,1.551785,3.632529,-0.482784,-2.111311,-2.801573,1.209815,3.176939,0.477484,0.251036,0.181491,0.0611,0.030089,0.022259,0.184736,0.149963,0.114033,0.046649,0.016232,0.01285,0.467344,0.103995,1.200457,0.670026,0.875162,0.869167,0.859601,relaxed
11.289927,4.431888,1.136916,3.85986,0.019929,0.0173,0.000035,0.000076,0.000609,0.001813,0.010235,0.012588,0.009829,0.008458,6.377847,0.596729,0.039973,0.025366,1221.081177,613.67157,3.894264,2.286288,0.042305,0.020255,-133.180679,179.647308,-170.713028,-30.610043,-52.744564,-7.226787,-26.382969,-12.984834,-13.734572,-10.08826,-1.886626,-12.894543,-1.512633,-765.965088,220.40387,-55.109741,-12.180923,-16.306757,-2.611609,-7.586328,-6.022735,-8.549273,-2.067206,-1.369487,-1.696363,-3.553581,0.8357,1.576142,0.104938,0.187324,0.390198,0.329132,0.071273,0.005057,0.151549,0.130984,0.19225,0.200189,0.073334,0.007522,0.510158,0.082985,1.388753,0.722696,0.705631,0.690696,0.680105,bored
9.5516,3.435209,1.842145,4.62918,0.025179,0.012494,0.000455,0.000619,0.003193,0.002067,0.010639,0.005765,0.010817,0.00786,7.080914,0.191635,0.056537,0.020993,1785.454956,938.249756,1.241672,0.485788,0.055167,0.021962,-23.135019,142.446045,-171.590576,41.879429,-40.061394,1.252373,-24.320499,-11.538682,-29.340132,-0.944544,0.044766,-10.426483,-10.073079,-646.950073,160.335739,-56.590233,42.784508,-5.08213,17.697515,9.991251,-2.336252,-17.564219,-0.008715,-2.581151,5.057244,2.190823,0.804362,0.710374,0.293013,0.208478,0.154134,0.269605,0.118321,0.051214,0.153574,0.102805,0.145188,0.167452,0.093718,0.051632,0.462236,0.081078,2.192755,0.599605,0.649355,0.65055,0.657831,sleepy
13.549953,4.53124,2.462656,4.317052,0.018657,0.028734,0.000001,0.000003,0.000276,0.000516,0.005334,0.010361,0.01318,0.021961,5.86128,0.352873,0.039224,0.034135,910.943481,308.991119,6.455998,1.734315,0.02999,0.009935,-177.825561,204.491302,-130.413117,-73.028107,-38.02129,-8.824294,-47.694084,-22.485168,-22.983606,-14.321937,-17.451038,-2.704415,-6.183969,-841.299744,276.265564,-36.78371,-39.178337,0.115785,-1.372503,-17.753912,-10.720046,-10.90326,-18.215187,-12.9462,-9.462251,-4.554702,1.277618,2.910343,0.108445,0.3643,0.320871,0.237953,0.035827,0.00018,0.163975,0.232127,0.184981,0.189142,0.045323,0.000446,0.43737,0.07556,1.447136,0.706657,0.62113,0.635387,0.660037,calm
16.640873,5.654506,5.34749,6.480886,0.014512,0.01966,0.000003,0.000018,0.001079,0.001588,0.00191,0.005558,0.011895,0.017003,5.795651,0.3983,0.028794,0.031736,603.572998,446.509369,5.843022,1.990969,0.023165,0.015144,-242.493652,222.263733,-126.043518,-38.30537,-42.685135,-21.376986,-32.373188,-11.880477,-11.117267,-18.430567,-8.915519,-16.622398,-6.75987,-886.983276,259.051453,-17.913569,-8.467895,-1.929044,-13.43775,-13.769353,-6.557716,-5.42252,-4.445598,-5.704961,-9.901225,-3.672029,0.856811,2.750571,0.201681,0.271287,0.464496,0.096665,0.0107,0.000536,0.205969,0.244279,0.281117,0.123263,0.01262,0.000831,0.414776,0.074196,1.147282,0.666812,0.592506,0.615293,0.639537,nervous
11.456102,3.49825,3.299392,3.457506,0.041852,0.017931,0.000308,0.000905,0.008367,0.010924,0.005262,0.007172,0.028934,0.010428,6.343237,0.535673,0.078241,0.041597,830.655029,741.47821,3.275945,1.33269,0.030537,0.021445,-64.361313,180.952469,-131.440537,1.284372,-71.414665,-15.354568,-33.715591,-17.288321,-0.873646,-5.576032,-19.423126,-29.007496,-5.680597,-707.987427,211.225418,-8.798902,15.764747,-20.767511,0.108547,-28.02553,-15.982503,0.392041,11.964249,-1.310688,-7.630378,-9.278736,1.727779,5.700781,0.152742,0.187348,0.440972,0.222898,0.041366,0.004849,0.140706,0.090839,0.14307,0.162949,0.044856,0.003386,0.43878,0.087276,1.604896,0.609113,0.421693,0.430727,0.392336,angry
19.198601,4.958304,53.419376,76.774155,0.06541,0.057213,0.000487,0.001695,0.05215,0.053343,0.00778,0.008901,0.007325,0.009362,6.743175,0.817311,0.068142,0.058169,809.114197,1197.899536,2.057315,1.202589,0.033484,0.032008,-64.217331,122.537979,-90.533028,60.45253,-15.264437,34.703556,-23.896025,-3.088734,-17.372915,3.744069,-2.422759,-8.368847,-8.620867,-719.554627,143.054108,14.224483,46.545219,33.669209,35.75034,18.41745,7.972929,0.691772,4.159866,10.875209,6.961171,-6.696695,1.073355,3.307678,0.757904,0.065114,0.027148,0.079678,0.062253,0.027979,0.193957,0.082095,0.056453,0.104672,0.11477,0.065373,0.553241,0.085926,1.817195,0.725621,0.802266,0.795719,0.784939,bored
